Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Task,Task Status,Task,Task Status
139455685,Deploy base application to Heroku,"",1,"Mar 6, 2017","Mar 19, 2017",chore,,unstarted,"Feb 9, 2017",,,Adebayo,"### Why this is important
This will enable other users access and use the application.

**Acceptance Criteria**
GIVEN application URLs
WHEN user navigates to provided URLs in browser
THEN user should access the live application

GIVEN a developer raises a `Pull Request`
WHEN a review app is automatically created
THEN review app should mirror the Pull Request being raised

### Dev Notes
`staging` and `production` environments are to be setup and URLs should follow the naming pattern below:
- `<repo-name>-staging.herokuapp.com` for `staging`
- `<repo-name>.herokuapp.com` for `production`",https://www.pivotaltracker.com/story/show/139455685,
139454723,Configure ESLint,"",1,"Mar 6, 2017","Mar 19, 2017",chore,,unstarted,"Feb 9, 2017",,,Adebayo,"### Why this is important
ESLint is the required linter for the project. It'll help check for style violations and flag them.

#### Dev Notes
We'll be using the style guide configuration below:
```{
  ""root"": true,
  ""extends"": ""airbnb-base"",
  ""env"": {
    ""node"": true,
    ""es6"": true,
    ""mocha"": true
  },
  ""rules"": {
    ""one-var"": 0,
    ""one-var-declaration-per-line"": 0,
    ""new-cap"": 0,
    ""consistent-return"": 0,
    ""no-param-reassign"": 0,
    ""comma-dangle"": 0,
    ""curly"": [""error"", ""multi-line""],
    ""import/no-unresolved"": [2, { commonjs: true }],
    ""no-shadow"": [""error"", { ""allow"": [""req"", ""res"", ""err""] }],
    ""valid-jsdoc"": [""error"", {
      ""requireReturn"": true,
      ""requireReturnType"": true,
      ""requireParamDescription"": false,
      ""requireReturnDescription"": true
    }],
    ""require-jsdoc"": [""error"", {
        ""require"": {
            ""FunctionDeclaration"": true,
            ""MethodDefinition"": true,
            ""ClassDeclaration"": true
        }
    }]
  }
}```

#### Useful Links
[AirBnB Javascript](https://github.com/airbnb/javascript)
[ESLint](https://www.npmjs.com/package/eslint)
[ESLint Config AirBnB](https://www.npmjs.com/package/eslint-config-airbnb)
[ESLint Plugin Import](https://www.npmjs.com/package/eslint-plugin-import)",https://www.pivotaltracker.com/story/show/139454723,
137876949,Link Github with Slack,"",1,"Mar 6, 2017","Mar 19, 2017",chore,,unstarted,"Jan 18, 2017",,,Kesiena Akpobome,"### Why this is important

When there is activity on Github, they automatically show up as updates in a dedicated Slack channel (separate from the normal team channel, same as the one used for the pivotal updates)",https://www.pivotaltracker.com/story/show/137876949,
137876875,Link Pivotal Tracker with Slack,"",1,"Mar 6, 2017","Mar 19, 2017",chore,,unstarted,"Jan 18, 2017",,,Kesiena Akpobome,"### Why this is important

When there is activity on Pivotal tracker, updates automatically show up in a dedicated Slack channel (separate from the team channel).",https://www.pivotaltracker.com/story/show/137876875,
137876761,Link Pivotal Tracker with Github,"",1,"Mar 6, 2017","Mar 19, 2017",chore,,unstarted,"Jan 18, 2017",,,Kesiena Akpobome,"### Why this is important

When PRs are made, they automatically show up as comments/commit with their associated stories, giving more context to the story.",https://www.pivotaltracker.com/story/show/137876761,
130335171,Integrate TravisCI with readme badge,"",1,"Mar 6, 2017","Mar 19, 2017",chore,,unstarted,"Sep 14, 2016",,,Kesiena Akpobome,"### Why is this important?
This is required to automatically run tests and other preliminary build steps requiredto ship the next iteration of the product",https://www.pivotaltracker.com/story/show/130335171,
130334903,Integrate HoundCI with badge attached to readme,"",1,"Mar 6, 2017","Mar 19, 2017",chore,,unstarted,"Sep 14, 2016",,,Kesiena Akpobome,"### Why this important?
This is to automatically validate the codebase with standard style guides",https://www.pivotaltracker.com/story/show/130334903,
130332983,Setup unit testing for the front end,"",1,"Mar 6, 2017","Mar 19, 2017",chore,,unstarted,"Sep 14, 2016",,,Kesiena Akpobome,"### Why is this important?
To ensure the front end has all functionality work the way it was intended. Use Jasmine and Karma (with PhantomJS/Chrome/Firefox) to setup front end testing environment.",https://www.pivotaltracker.com/story/show/130332983,
129763735,Convert from Grunt to Gulp taskrunner,"",1,"Mar 6, 2017","Mar 19, 2017",chore,,unstarted,"Sep 4, 2016",,,Kesiena Akpobome,"### Why this is important

Grunt is an older task runner than Gulp; with Gulp, the syntax is much simpler to comprehend and it uses pipe streams which makes it inherently faster.",https://www.pivotaltracker.com/story/show/129763735,
130337175,Integrate Coveralls code coverage service,"",1,"Mar 6, 2017","Mar 19, 2017",chore,,unstarted,"Sep 14, 2016",,,Kesiena Akpobome,"###Why is this important?
This is to ensure we are properly informed just how well our code base is tested which in turn provides quality assurance for the product",https://www.pivotaltracker.com/story/show/130337175,
130336965,Users should receive a JWT on successful login,"",1,"Mar 6, 2017","Mar 19, 2017",feature,2,unstarted,"Sep 14, 2016",,,Kesiena Akpobome,"Users once authenticated via the login api should be returned a JWT to be required on subsequent call to all other endpoints that require authentication.

**Acceptance Criteria**
GIVEN user successfully signs up or logs in
WHEN user passes appropriate JSON object to the /api/auth/login endpoint
THEN user should receive a JWT as the response

**DEV NOTES**
All endpoints are to have the /api prefix and would be an extension of the current code base as opposed  to replacing the existent authentication strategies.
The app should no longer use sessions, but should use the newly implemented JWT strategy for authentication.

DESIGN Notes
NA",https://www.pivotaltracker.com/story/show/130336965,
